2020-01-27 21:22:25,489 [INFO :__main__] My PID is 23513
2020-01-27 21:22:25,490 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum_aspect/short_docs/', log_interval=100, max_decode_step=3, max_doc_len=20, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum_aspect/glove.100k.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum_aspect/short_docs/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', train_oracle='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum/train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum/train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-27 21:22:25,587 [INFO :__main__] My seed is 12345
2020-01-27 21:22:31,978 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (67)
2020-01-27 21:22:31,980 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (69)
2020-01-27 21:22:31,981 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (70)
2020-01-27 21:22:31,985 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (73)
2020-01-27 21:22:31,985 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (73)
2020-01-27 21:22:31,986 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (73)
2020-01-27 21:22:31,989 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (76)
2020-01-27 21:22:31,994 [INFO :onlinePreprocess] WARNING: ignoring an empty line (80)
2020-01-27 21:22:31,998 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (82)
2020-01-27 21:22:32,001 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (84)
2020-01-27 21:22:32,001 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (85)
2020-01-27 21:22:32,002 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (85)
2020-01-27 21:22:32,005 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (90)
2020-01-27 21:22:32,007 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (91)
2020-01-27 21:22:32,008 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (91)
2020-01-27 21:22:32,010 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (93)
2020-01-27 21:22:32,012 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (95)
2020-01-27 21:22:32,013 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (96)
2020-01-27 21:22:32,015 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (97)
2020-01-27 21:22:32,018 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (101)
2020-01-27 21:22:32,019 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (101)
2020-01-27 21:22:32,019 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (101)
2020-01-27 21:22:32,022 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (103)
2020-01-27 21:22:32,022 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (103)
2020-01-27 21:22:32,023 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (103)
2020-01-27 21:22:32,025 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (105)
2020-01-27 21:22:32,027 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (107)
2020-01-27 21:22:32,028 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (108)
2020-01-27 21:22:32,028 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (108)
2020-01-27 21:22:32,033 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (112)
2020-01-27 21:22:32,034 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (112)
2020-01-27 21:22:32,034 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (112)
2020-01-27 21:22:32,036 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (112)
2020-01-27 21:22:32,037 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (113)
2020-01-27 21:22:32,039 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (113)
2020-01-27 21:22:32,040 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (113)
2020-01-27 21:22:32,042 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (117)
2020-01-27 21:22:32,046 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (121)
2020-01-27 21:22:32,048 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (123)
2020-01-27 21:22:32,050 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (124)
2020-01-27 21:22:32,052 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (128)
2020-01-27 21:22:32,059 [INFO :onlinePreprocess] WARNING: ignoring an empty line (136)
2020-01-27 21:22:32,062 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (138)
2020-01-27 21:22:32,062 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (138)
2020-01-27 21:22:32,063 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (139)
2020-01-27 21:22:32,064 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (139)
2020-01-27 21:22:32,067 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (143)
2020-01-27 21:22:32,068 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (143)
